P-n20-5

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       0         0           0          0       1000          5
    1       83        63          5          0       1000          5
    2       4         48          2          0       1000          5
    3       88        5           5          0       1000          5
    4       43        46          2          0       1000          5
    5       90        31          2          0       1000          5
    6       21        62          5          0       1000          5
    7       15        89          5          0       1000          5
    8       75        46          5          0       1000          5
    9       54        46          2          0       1000          5
    10      16        27          5          0       1000          5
    11      53        27          2          0       1000          5
    12      15        96          5          0       1000          5
    13      67        84          5          0       1000          5
    14      6         39          2          0       1000          5
    15      11        80          5          0       1000          5
    16      43        86          5          0       1000          5
    17      22        4           2          0       1000          5
    18      67        3           5          0       1000          5
    19      72        6           2          0       1000          5
    20      70        52          2          0       1000          5
