P-n20-1

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       0         0           0          0       1000          5
    1       33        45          5          0       1000          5
    2       33        76          2          0       1000          5
    3       58        28          5          0       1000          5
    4       7         91          5          0       1000          5
    5       8         99          2          0       1000          5
    6       93        63          2          0       1000          5
    7       75        73          2          0       1000          5
    8       85        71          2          0       1000          5
    9       6         62          2          0       1000          5
    10      42        58          2          0       1000          5
    11      10        12          2          0       1000          5
    12      79        76          2          0       1000          5
    13      14        100         5          0       1000          5
    14      39        28          2          0       1000          5
    15      78        46          5          0       1000          5
    16      3         51          5          0       1000          5
    17      100       65          5          0       1000          5
    18      26        73          5          0       1000          5
    19      86        97          5          0       1000          5
    20      44        21          5          0       1000          5
