P-n20-7

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       50        50          0          0       1000          5
    1       8         67          2          0       1000          5
    2       10        33          2          0       1000          5
    3       54        5           2          0       1000          5
    4       79        46          2          0       1000          5
    5       50        74          2          0       1000          5
    6       51        60          2          0       1000          5
    7       22        46          2          0       1000          5
    8       92        95          2          0       1000          5
    9       22        44          5          0       1000          5
    10      50        80          2          0       1000          5
    11      97        91          5          0       1000          5
    12      7         86          2          0       1000          5
    13      36        89          5          0       1000          5
    14      28        50          5          0       1000          5
    15      15        57          2          0       1000          5
    16      32        41          2          0       1000          5
    17      34        54          2          0       1000          5
    18      48        46          5          0       1000          5
    19      13        65          2          0       1000          5
    20      0         53          5          0       1000          5
