P-n20-6

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       50        50          0          0       1000          5
    1       20        69          5          0       1000          5
    2       15        31          2          0       1000          5
    3       9         76          2          0       1000          5
    4       92        45          2          0       1000          5
    5       64        23          2          0       1000          5
    6       66        63          5          0       1000          5
    7       69        16          5          0       1000          5
    8       57        8           5          0       1000          5
    9       75        93          2          0       1000          5
    10      97        38          5          0       1000          5
    11      4         90          5          0       1000          5
    12      37        67          5          0       1000          5
    13      41        39          5          0       1000          5
    14      53        85          5          0       1000          5
    15      98        76          2          0       1000          5
    16      41        49          2          0       1000          5
    17      18        26          2          0       1000          5
    18      70        7           2          0       1000          5
    19      44        27          5          0       1000          5
    20      89        25          5          0       1000          5
