P-n15-0

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      0          0           0          0       1000          5
    1      52         97          2          0       1000          5
    2      100        96          5          0       1000          5
    3      94         85          5          0       1000          5
    4      4          44          2          0       1000          5
    5      77         53          2          0       1000          5
    6      57         75          5          0       1000          5
    7      77         48          5          0       1000          5
    8      34         62          2          0       1000          5
    9      60         38          2          0       1000          5
    10     9          82          2          0       1000          5
    11     74         55          5          0       1000          5
    12     96         93          5          0       1000          5
    13     6          81          2          0       1000          5
    14     10         77          2          0       1000          5
    15     56         94          2          0       1000          5
