P-n10-7

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      50         50          0          0       1000          5
    1      6          6           2          0       1000          5
    2      28         80          2          0       1000          5
    3      49         53          2          0       1000          5
    4      31         36          5          0       1000          5
    5      88         45          5          0       1000          5
    6      13         74          5          0       1000          5
    7      73         7           2          0       1000          5
    8      0          18          5          0       1000          5
    9      96         49          5          0       1000          5
    10     1          2           2          0       1000          5
