P-n10-5

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      0          0           0          0       1000          5
    1      3          18          2          0       1000          5
    2      59         33          5          0       1000          5
    3      16         66          5          0       1000          5
    4      29         98          2          0       1000          5
    5      100        99          5          0       1000          5
    6      42         81          5          0       1000          5
    7      36         77          2          0       1000          5
    8      25         89          5          0       1000          5
    9      76         7           2          0       1000          5
    10     3          51          5          0       1000          5
