P-n20-8

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       0         0           0          0       1000          5
    1       79        2           5          0       1000          5
    2       31        93          2          0       1000          5
    3       59        97          2          0       1000          5
    4       100       60          2          0       1000          5
    5       92        18          5          0       1000          5
    6       43        72          2          0       1000          5
    7       67        21          5          0       1000          5
    8       58        78          5          0       1000          5
    9       69        8           5          0       1000          5
    10      45        3           5          0       1000          5
    11      73        45          5          0       1000          5
    12      83        64          5          0       1000          5
    13      46        79          5          0       1000          5
    14      70        13          2          0       1000          5
    15      76        72          5          0       1000          5
    16      61        30          5          0       1000          5
    17      58        84          5          0       1000          5
    18      42        0           5          0       1000          5
    19      86        64          5          0       1000          5
    20      26        92          2          0       1000          5
