P-n20-9

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       0         0           0          0       1000          5
    1       86        11          2          0       1000          5
    2       47        4           5          0       1000          5
    3       37        40          5          0       1000          5
    4       77        58          5          0       1000          5
    5       86        9           2          0       1000          5
    6       33        0           5          0       1000          5
    7       55        25          2          0       1000          5
    8       12        91          2          0       1000          5
    9       98        1           5          0       1000          5
    10      68        96          5          0       1000          5
    11      39        80          2          0       1000          5
    12      3         19          2          0       1000          5
    13      92        97          5          0       1000          5
    14      94        97          2          0       1000          5
    15      46        31          5          0       1000          5
    16      92        43          2          0       1000          5
    17      36        95          5          0       1000          5
    18      18        24          5          0       1000          5
    19      27        36          5          0       1000          5
    20      74        16          2          0       1000          5
