P-n15-7

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       0         0            0          0       1000          5
    1       13        77           5          0       1000          5
    2       43        81           2          0       1000          5
    3       53        96           5          0       1000          5
    4       50        38           5          0       1000          5
    5       20        55           5          0       1000          5
    6       10        11           2          0       1000          5
    7       4         18           2          0       1000          5
    8       87        55           5          0       1000          5
    9       76        56           5          0       1000          5
    10      100       10           2          0       1000          5
    11      91        57           5          0       1000          5
    12      55        14           5          0       1000          5
    13      72        71           2          0       1000          5
    14      12        46           5          0       1000          5
    15      80        55           2          0       1000          5
