P-n15-4

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      50         50          0          0       1000          5
    1      77         61          5          0       1000          5
    2      89         18          5          0       1000          5
    3      57         23          5          0       1000          5
    4      40         53          5          0       1000          5
    5      40         22          5          0       1000          5
    6      51         11          5          0       1000          5
    7      11         12          2          0       1000          5
    8      64         6           5          0       1000          5
    9      81         59          2          0       1000          5
    10     11         0           2          0       1000          5
    11     54         53          5          0       1000          5
    12     33         3           2          0       1000          5
    13     66         8           5          0       1000          5
    14     79         63          5          0       1000          5
    15     70         63          2          0       1000          5
