P-n15-5

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      0          0           0          0       1000          5
    1      67         67          2          0       1000          5
    2      10         78          2          0       1000          5
    3      82         17          5          0       1000          5
    4      46         41          5          0       1000          5
    5      59         62          2          0       1000          5
    6      34         75          5          0       1000          5
    7      40         10          2          0       1000          5
    8      10         18          5          0       1000          5
    9      86         94          5          0       1000          5
    10     46         18          2          0       1000          5
    11     17         72          5          0       1000          5
    12     51         53          5          0       1000          5
    13     19         24          2          0       1000          5
    14     65         99          2          0       1000          5
    15     47         31          2          0       1000          5
