P-n15-8

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       0          0            0          0       1000          5
    1       7          66           2          0       1000          5
    2       42         44           5          0       1000          5
    3       67         58           5          0       1000          5
    4       98         33           2          0       1000          5
    5       92         64           2          0       1000          5
    6       3          81           2          0       1000          5
    7       23         67           5          0       1000          5
    8       24         75           5          0       1000          5
    9       55         58           2          0       1000          5
    10      49         68           5          0       1000          5
    11      56         65           5          0       1000          5
    12      47         92           2          0       1000          5
    13      26         8            5          0       1000          5
    14      38         74           5          0       1000          5
    15      100        1            5          0       1000          5
