P-n15-3

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      0          0           0          0       1000          5
    1      35         77          2          0       1000          5
    2      47         4           2          0       1000          5
    3      42         82          2          0       1000          5
    4      4          96          5          0       1000          5
    5      95         43          2          0       1000          5
    6      39         78          5          0       1000          5
    7      99         76          5          0       1000          5
    8      27         91          2          0       1000          5
    9      62         92          5          0       1000          5
    10     37         74          5          0       1000          5
    11     8          30          5          0       1000          5
    12     40         96          5          0       1000          5
    13     57         74          2          0       1000          5
    14     51         73          2          0       1000          5
    15     38         33          2          0       1000          5
