P-n15-9

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       50        50            0          0       1000          5
    1       3         92            5          0       1000          5
    2       97        42            5          0       1000          5
    3       59        69            2          0       1000          5
    4       80        67            2          0       1000          5
    5       62        1             2          0       1000          5
    6       82        92            2          0       1000          5
    7       47        78            5          0       1000          5
    8       47        89            5          0       1000          5
    9       32        10            2          0       1000          5
    10      30        100           2          0       1000          5
    11      16        48            2          0       1000          5
    12      51        28            5          0       1000          5
    13      23        26            2          0       1000          5
    14      53        51            5          0       1000          5
    15      79        85            5          0       1000          5
