P-n100-0

HEAVY VEHICLE        
NUMBER     CAPACITY
  1         100

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

   0       0          0          1          0        25000         5
   1       238        315        1          0        25000         5
   2       460        8          1          0        25000         5
   3       352        402        1          0        25000         5
   4       100        410        1          0        25000         5
   5       73         431        1          0        25000         5
   6       361        41         1          0        25000         5
   7       2          31         1          0        25000         5
   8       22         295        1          0        25000         5
   9       98         408        1          0        25000         5
   10      198        107        1          0        25000         5
   11      275        179        1          0        25000         5
   12      182        243        1          0        25000         5
   13      0          233        1          0        25000         5
   14      28         140        1          0        25000         5
   15      415        14         1          0        25000         5
   16      151        429        1          0        25000         5
   17      149        321        1          0        25000         5
   18      118        482        1          0        25000         5
   19      475        74         1          0        25000         5
   20      461        150        1          0        25000         5
   21      137        414        1          0        25000         5
   22      63         55         1          0        25000         5
   23      28         84         1          0        25000         5
   24      281        417        1          0        25000         5
   25      237        337        1          0        25000         5
   26      258        18         1          0        25000         5
   27      268        336        1          0        25000         5
   28      412        491        1          0        25000         5
   29      54         164        1          0        25000         5
   30      64         195        1          0        25000         5
   31      68         209        1          0        25000         5
   32      465        330        1          0        25000         5
   33      85         492        1          0        25000         5
   34      346        238        1          0        25000         5
   35      41         148        1          0        25000         5
   36      495        181        1          0        25000         5
   37      377        235        1          0        25000         5
   38      491        244        1          0        25000         5
   39      392        256        1          0        25000         5
   40      363        303        1          0        25000         5
   41      299        204        1          0        25000         5
   42      81         369        1          0        25000         5
   43      175        282        1          0        25000         5
   44      0          112        1          0        25000         5
   45      411        42         1          0        25000         5
   46      211        457        1          0        25000         5
   47      156        379        1          0        25000         5
   48      457        257        1          0        25000         5
   49      448        306        1          0        25000         5
   50      415        165        1          0        25000         5
   51      103        130        1          0        25000         5
   52      407        86         1          0        25000         5
   53      93         4          1          0        25000         5
   54      166        319        1          0        25000         5
   55      328        377        1          0        25000         5
   56      487        140        1          0        25000         5
   57      491        453        1          0        25000         5
   58      405        466        1          0        25000         5
   59      383        175        1          0        25000         5
   60      446        357        1          0        25000         5
   61      36         208        1          0        25000         5
   62      255        278        1          0        25000         5
   63      232        223        1          0        25000         5
   64      195        369        1          0        25000         5
   65      4          103        1          0        25000         5
   66      12         193        1          0        25000         5
   67      220        371        1          0        25000         5
   68      275        72         1          0        25000         5
   69      463        389        1          0        25000         5
   70      262        123        1          0        25000         5
   71      454        351        1          0        25000         5
   72      352        83         1          0        25000         5
   73      28         31         1          0        25000         5
   74      217        139        1          0        25000         5
   75      91         247        1          0        25000         5
   76      162        156        1          0        25000         5
   77      312        440        1          0        25000         5
   78      492        65         1          0        25000         5
   79      301        362        1          0        25000         5
   80      54         1          1          0        25000         5
   81      289        478        1          0        25000         5
   82      385        8          1          0        25000         5
   83      186        369        1          0        25000         5
   84      341        484        1          0        25000         5
   85      404        233        1          0        25000         5
   86      444        446        1          0        25000         5
   87      311        189        1          0        25000         5
   88      463        212        1          0        25000         5
   89      36         409        1          0        25000         5
   90      15         266        1          0        25000         5
   91      241        163        1          0        25000         5
   92      249        200        1          0        25000         5
   93      21         272        1          0        25000         5
   94      30         13         1          0        25000         5
   95      64         109        1          0        25000         5
   96      325        28         1          0        25000         5
   97      321        130        1          0        25000         5
   98      489        488        1          0        25000         5
   99      216        207        1          0        25000         5
   100     495        233        1          0        25000         5
