P-n20-4

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       50        50          0          0       1000          5
    1       56        67          5          0       1000          5
    2       88        60          5          0       1000          5
    3       67        4           2          0       1000          5
    4       45        31          2          0       1000          5
    5       78        39          2          0       1000          5
    6       39        65          2          0       1000          5
    7       20        97          2          0       1000          5
    8       9         47          2          0       1000          5
    9       30        67          2          0       1000          5
    10      70        91          2          0       1000          5
    11      29        89          5          0       1000          5
    12      97        56          5          0       1000          5
    13      76        71          2          0       1000          5
    14      82        41          2          0       1000          5
    15      72        64          5          0       1000          5
    16      9         57          5          0       1000          5
    17      97        17          2          0       1000          5
    18      90        36          2          0       1000          5
    19      3         54          5          0       1000          5
    20      46        4           5          0       1000          5
