P-n15-6

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      0          0           0          0       1000          5
    1      98         30          2          0       1000          5
    2      46         45          2          0       1000          5
    3      15         61          5          0       1000          5
    4      46         92          2          0       1000          5
    5      58         86          2          0       1000          5
    6      81         35          2          0       1000          5
    7      1          80          2          0       1000          5
    8      27         76          5          0       1000          5
    9      8          63          5          0       1000          5
    10     5          11          5          0       1000          5
    11     90         45          5          0       1000          5
    12     3          72          2          0       1000          5
    13     85         53          2          0       1000          5
    14     43         54          5          0       1000          5
    15     11         92          5          0       1000          5
