P-n15-1

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      0          0           0          0       1000          5
    1      27         12          2          0       1000          5
    2      88         74          5          0       1000          5
    3      53         74          5          0       1000          5
    4      55         41          2          0       1000          5
    5      33         69          2          0       1000          5
    6      1          100         5          0       1000          5
    7      65         18          2          0       1000          5
    8      84         43          5          0       1000          5
    9      45         56          5          0       1000          5
    10     41         61          2          0       1000          5
    11     100        6           2          0       1000          5
    12     45         29          2          0       1000          5
    13     36         70          5          0       1000          5
    14     100        88          5          0       1000          5
    15     55         24          2          0       1000          5
