P-n20-3

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       50        50          0          0       1000          5
    1       78        53          5          0       1000          5
    2       88        78          5          0       1000          5
    3       63        70          5          0       1000          5
    4       100       44          5          0       1000          5
    5       89        13          5          0       1000          5
    6       68        66          5          0       1000          5
    7       24        14          5          0       1000          5
    8       1         8           2          0       1000          5
    9       47        48          5          0       1000          5
    10      47        79          2          0       1000          5
    11      49        78          5          0       1000          5
    12      46        89          2          0       1000          5
    13      90        23          5          0       1000          5
    14      8         18          2          0       1000          5
    15      62        87          5          0       1000          5
    16      35        96          2          0       1000          5
    17      79        20          2          0       1000          5
    18      56        14          5          0       1000          5
    19      98        36          5          0       1000          5
    20      94        7           5          0       1000          5
