P-n15-2

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      50         50          0          0       1000          5
    1      97         8           5          0       1000          5
    2      14         47          2          0       1000          5
    3      33         66          5          0       1000          5
    4      38         28          5          0       1000          5
    5      50         94          5          0       1000          5
    6      38         97          2          0       1000          5
    7      87         64          2          0       1000          5
    8      16         62          2          0       1000          5
    9      50         39          2          0       1000          5
    10     57         57          2          0       1000          5
    11     11         89          2          0       1000          5
    12     67         54          5          0       1000          5
    13     44         71          2          0       1000          5
    14     37         19          5          0       1000          5
    15     51         33          5          0       1000          5
