P-n20-2

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       0         0           0          0       1000          5
    1       32        0           2          0       1000          5
    2       0         62          5          0       1000          5
    3       4         6           2          0       1000          5
    4       96        65          5          0       1000          5
    5       98        64          2          0       1000          5
    6       57        5           5          0       1000          5
    7       13        53          2          0       1000          5
    8       65        68          2          0       1000          5
    9       4         41          2          0       1000          5
    10      60        46          2          0       1000          5
    11      33        32          2          0       1000          5
    12      35        72          2          0       1000          5
    13      6         59          2          0       1000          5
    14      38        44          2          0       1000          5
    15      93        13          2          0       1000          5
    16      86        23          2          0       1000          5
    17      82        38          2          0       1000          5
    18      1         56          5          0       1000          5
    19      35        22          5          0       1000          5
    20      62        52          2          0       1000          5
